"Channel","Contribution","percent_contribution"
"AOD",335.304056387,28.68298172583
"Google Search",260.352309511,22.2713695039903
"Yahoo!",213.198607298,18.2376909572575
"Criteo",186.700730454,15.970977797031
"Straits Times",65.267662969,5.58320470202353
"Facebook",45.083266755,3.85656687368522
"LinkedIn",13.278782078,1.13590950192668
"Business Times",13.154454334,1.12527410894161
"Forbes",13.093334272,1.12004570329594
"Twitter",10.335913445,0.884167103903221
"GSP",6.661589219,0.569853654299458
"OutBrain",3.635520983,0.310994096053839
"Dianomi",2.933772337,0.250964271761728
"YouTube",0,0
