Placement,New Placement, Spend (11 May to 31 Aug) - SGD ,Impression/Click,Channel,Brand/Tactical,Channel2,Search Approach - Brand/Compet/Generic,Media Objective,"Audience 
(Publisher v Exchange)",Prospect / Remarket,Format
AOD - Asian Unstoppables - Alok Shetty - Video Ads - AU,AOD - Asian Unstoppables - Alok Shetty - Video Ads - AU, $538.04 ,Click,AOD,Brand,AOD - Brand,,Content Marketing,Exchange,Prospect,Video
AOD - Asian Unstoppables - Candice Lo - Video Ads - AU,AOD - Asian Unstoppables - Candice Lo - Video Ads - AU," $4,655.27 ",Click,AOD,Brand,AOD - Brand,,Content Marketing,Exchange,Prospect,Video
AOD - Asian Unstoppables - Chan Yi Wen - Video Ads - AU,AOD - Asian Unstoppables - Chan Yi Wen - Video Ads - AU, $46.87 ,Click,AOD,Brand,AOD - Brand,,Content Marketing,Exchange,Prospect,Video
AOD - Asian Unstoppables - Collage - Video Ads - AU,AOD - Asian Unstoppables - Collage - Video Ads - AU," $5,297.51 ",Click,AOD,Brand,AOD - Brand,,Content Marketing,Exchange,Prospect,Video
AOD - Asian Unstoppables - Grace Chen - Video Ads - AU,AOD - Asian Unstoppables - Grace Chen - Video Ads - AU," $3,075.14 ",Click,AOD,Brand,AOD - Brand,,Content Marketing,Exchange,Prospect,Video
AOD - Asian Unstoppables - Lai Chang Wen - Video Ads - AU,AOD - Asian Unstoppables - Lai Chang Wen - Video Ads - AU," $4,081.66 ",Click,AOD,Brand,AOD - Brand,,Content Marketing,Exchange,Prospect,Video
AOD - Asian Unstoppables - Pocket Sun - Video Ads - AU,AOD - Asian Unstoppables - Pocket Sun - Video Ads - AU," $2,749.82 ",Click,AOD,Brand,AOD - Brand,,Content Marketing,Exchange,Prospect,Video
AOD - Asian Unstoppables - Quek Siu Rui - Video Ads - AU,AOD - Asian Unstoppables - Quek Siu Rui - Video Ads - AU," $3,737.57 ",Click,AOD,Brand,AOD - Brand,,Content Marketing,Exchange,Prospect,Video
AOD - Asian Unstoppables - Rachel Lim - Video Ads - AU,AOD - Asian Unstoppables - Rachel Lim - Video Ads - AU, $12.93 ,Click,AOD,Brand,AOD - Brand,,Content Marketing,Exchange,Prospect,Video
AOD - Asian Unstoppables - Ted Chen - Video Ads - AU,AOD - Asian Unstoppables - Ted Chen - Video Ads - AU," $4,711.71 ",Click,AOD,Brand,AOD - Brand,,Content Marketing,Exchange,Prospect,Video
AOD - PMP-PD - BBC - Premium Section - Homepage/Business/Capital - Desktop,AOD - PMP-PD - BBC - Premium Section - Homepage/Business/Capital, - ,Click,AOD,Brand,AOD - Brand,,Branding,Publisher,Prospect,Display
AOD - PMP-PD - BBC - Premium Section - Homepage/Business/Capital - Desktop & Mobile,AOD - PMP-PD - BBC - Premium Section - Homepage/Business/Capital," $4,890.49 ",Click,AOD,Brand,AOD - Brand,,Branding,Publisher,Prospect,Display
AOD - PMP-PD - BBC - ROS In-App w AOD Targeting,AOD - PMP-PD - BBC - ROS In-App w AOD Targeting," $1,538.51 ",Click,AOD,Brand,AOD - Brand,,Branding,Publisher,Prospect,Display
AOD - PMP-PD - BBC - ROS w AOD Targeting - Desktop,AOD - PMP-PD - BBC - ROS w AOD Targeting, - ,Click,AOD,Brand,AOD - Brand,,Branding,Publisher,Prospect,Display
AOD - PMP-PD - BBC - ROS w AOD Targeting - Desktop & Mobile,AOD - PMP-PD - BBC - ROS w AOD Targeting," $6,153.63 ",Click,AOD,Brand,AOD - Brand,,Branding,Publisher,Prospect,Display
AOD - PMP-PD - BBC - ROS with BBC First Party Segments Applied - Desktop,AOD - PMP-PD - BBC - ROS with BBC First Party Segments Applied, - ,Click,AOD,Brand,AOD - Brand,,Branding,Publisher,Prospect,Display
AOD - PMP-PD - BBC - ROS with BBC First Party Segments Applied - Desktop & Mobile,AOD - PMP-PD - BBC - ROS with BBC First Party Segments Applied," $4,983.07 ",Click,AOD,Brand,AOD - Brand,,Branding,Publisher,Prospect,Display
"AOD - PMP-PD - Mediacorp - Channel News Asia - ROS, target P35+ with HHI above 100k","AOD - PMP-PD - Mediacorp - Channel News Asia - ROS, target P35+ with HHI above 100k"," $1,861.39 ",Click,AOD,Brand,AOD - Brand,,Branding,Publisher,Prospect,Display
"AOD - PMP-PD - Mediacorp - Today Online - ROS, target P35+ with HHI above 100k","AOD - PMP-PD - Mediacorp - Today Online - ROS, target P35+ with HHI above 100k"," $1,668.31 ",Click,AOD,Brand,AOD - Brand,,Branding,Publisher,Prospect,Display
