"channel_name","removal_effects"
"AOD-3rdPartyAudience-AffluentInvestors(impression)",0.016771
"Yahoo-StreamAds-GeneralTargeting(impression)",0.307845
"AOD-PMP-PG-Forbes-RunofAsiaUnder30List,Business,Investing,LeaderhipChannels,IPSG(impression)",0.075175
"AOD-Prospecting-ROE(impression)",0.045479
"Forbes-BonusAd-Billboard-(impression)",0.01932
"Forbes-BonusAd-HalfPage-(impression)",0.03075
"AOD-TopSite-BankingandFinance,Investment,Local&BusinessNews,LuxuryShoppingandDining(impression)",0.041832
"Deposit",0.074553
"AOD-AdExchange-Microsoft(impression)",0.087319
"AOD-AdExchange-Microsoft",0.001715
"Criteo-Remarketing(impression)",0.381935
"AOD-Remarketing-DisplayandFacebookAdExchange(impression)",0.307307
"Brand",0.205712
"AOD-PMP-PG-WSJ-WSJDNGlobal-RunofBusiness(impression)",0.045949
"Y!AudienceAds-IPSGInterestTargetFinance(impression)",0.246889
"AOD-AdExchange-Yahoo(impression)",0.089687
"AOD-PMP-PD-BBC-ROSwAODTargeting-Desktop(impression)",0.031301
"AOD-PMP-PD-BBC-ROSwAODTargeting-Desktop&Mobile(impression)",0.035927
"AOD-PMP-PD-BBC-PremiumSection-Homepage/Business/Capital-Desktop(impression)",0.024712
"Criteo-Remarketing",0.012731
"AOD-PMP-PG-WSJ-WSJDNGlobal-RunofNews(impression)",0.032622
"AOD-TopSite-BankingandFinance,Investment,Local&BusinessNews,LuxuryShoppingandDining",0.000846
"BusinessTimes.com-Homepage-ExpandableSuperLeaderboard(impression)",0.041545
"AOD-Prospecting-TopSitesforBanking&Finance,Investments,RealEstateandLuxuryShoppingcategories(impression)",0.060036
"AOD-KeywordsTargeting(impression)",0.047966
"Yahoo-StreamAds-Retargeting(impression)",0.263862
"Y!AudienceAds-IPSG(impression)",0.125889
"Yahoo-StreamAds-GeneralTargeting",0.04225
"AOD-PMP-PG-Forbes-Forbes.comROS(impression)",0.00986
"AOD-PMP-PG-WSJ-WSJDNGlobalNetwork-MobileWeb(impression)",0.022585
"Yahoo-StreamAds-Retargeting",0.014394
"Y!AudienceAds-IPSGInterestTargetFinance",0.004203
"AOD-PMP-PD-BBC-ROSwithBBCFirstPartySegmentsApplied-Desktop(impression)",0.035409
"AOD-PMP-PD-BBC-ROSwithBBCFirstPartySegmentsApplied-Desktop&Mobile(impression)",0.020547
"AOD-PMP-PD-BBC-ROSwithBBCFirstPartySegmentsApplied-Desktop",0.001746
"AOD-PMP-PD-BBC-PremiumSection-Homepage/Business/Capital-Desktop&Mobile(impression)",0.01146
"AOD-PMP-PD-BBC-ROSwAODTargeting-Desktop&Mobile",0.000854
"LinkedIn-SponsoredContent-AsianInsights-AI",0.003394
"AOD-PMP-PD-Mediacorp-ChannelNewsAsia-ROS,targetP35+withHHIabove100k(impression)",0.00166
"AOD-PMP-PD-SPH-ROS,targetP35+(impression)",0.001695
"AOD-PMP-PD-BBC-PremiumSection-Homepage/Business/Capital-Desktop",0.003379
"AOD-PMP-PG-Forbes-RunofAsiaUnder30List,Business,Investing,LeaderhipChannels,IPSG",0.00092
"AOD-PMP-PD-Mediacorp-TodayOnline-ROS,targetP35+withHHIabove100k(impression)",0.003428
"LinkedIn-SponsoredInMail-AU",0.009423
"StraitsTimes.com-Homepage-TransAd-16May2016(impression)",0.021257
"StraitsTimes.com-Homepage-Launchpad(to)(impression)",0.026497
"StraitsTimes.com-Homepage-TransAd-19May2016(impression)",0.021092
"OCBCPremierBanking",0.012739
"AOD-PMP-PG-WSJ-WSJDNGlobal-AT-C-Suite(impression)",0.004964
"AOD-PMP-PG-WSJ-WSJDNGlobal-RunofNews",0.004163
"KrisFlyer",0.003403
"StraitsTimes.com-Others(ST&BTROSinSelectedSections)(impression)",0.069902
"StraitsTimes.com-Others(ST&BTROSinSelectedSections)",0.004216
"AOD-Propecting-MobileROE(impression)",0.013633
