MCF Channel Grouping Path,Source/Medium Path,Conversions,Conversion Value
Direct,(direct) / (none),"2,674","SGD4,174,942.93"
Organic Search,google / organic,"1,551","SGD2,020,255.72"
Paid Search,google / cpc,"1,203","SGD1,632,761.10"
Direct > Direct,(direct) / (none) > (direct) / (none),"1,045","SGD1,651,869.90"
Direct > Direct > Direct,(direct) / (none) > (direct) / (none) > (direct) / (none),585,"SGD849,457.03"
Organic Search > Direct,google / organic > (direct) / (none),461,"SGD609,128.70"
Direct > Direct > Direct > Direct,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),403,"SGD680,954.36"
Paid Search > Paid Search,google / cpc > google / cpc,301,"SGD399,088.45"
Direct > Direct > Direct > Direct > Direct,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),278,"SGD421,377.43"
Organic Search,bing / organic,233,"SGD312,207.22"
Organic Search > Display,google / organic > dfa / cpm,208,"SGD289,307.66"
Paid Search,bing / cpc,206,"SGD266,652.09"
Direct > Direct > Direct > Direct > Direct > Direct,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),206,"SGD330,093.45"
Organic Search > Direct > Direct,google / organic > (direct) / (none) > (direct) / (none),188,"SGD267,612.83"
Paid Search > Direct,google / cpc > (direct) / (none),174,"SGD231,144.15"
Direct > Direct > Direct > Direct > Direct > Direct > Direct,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),133,"SGD201,029.25"
Organic Search,yahoo / organic,115,"SGD140,050.85"
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),108,"SGD204,715.30"
Organic Search > Direct > Direct > Direct,google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none),108,"SGD147,693.97"
Display (impression) > Direct,dbm / cpm (impression) > (direct) / (none),102,"SGD117,032.89"
Display (impression) > Direct,dfa / cpm (impression) > (direct) / (none),102,"SGD119,968.60"
Paid Search > Paid Search > Paid Search,google / cpc > google / cpc > google / cpc,91,"SGD117,193.47"
Referral,skyscanner.com.sg / referral,85,"SGD109,844.69"
