"Channel","Contribution","percent_contribution"
"AOD",347.742905936,29.7470407138006
"Google Search",267.284067592,22.8643342684689
"Yahoo!",223.717065604,19.1374735337347
"Criteo",160.844775452,13.7591766857017
"Straits Times",60.257976832,5.15466012262133
"Facebook",45.087675069,3.85694397519931
"Forbes",15.496103896,1.32558630422337
"LinkedIn",12.9,1.10350727119837
"Twitter",10.505050506,0.898635629277298
"Business Times",9.68977591,0.82889443201301
"GSP",7.666666667,0.655831194797573
"OutBrain",4.522222222,0.386845356895493
"Dianomi",3.285714286,0.281070512068323
